url,sentence
https://www.eea.europa.eu/airs/2017/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector," The 2020 prospects of continued growth and employment creation in the sector are uncertain and dependant on the sector competing with equivalent sectors in China and the USA, and continuing ambitious renewable energy and green growth policies in EuropeFor further information on the scoreboard methodology please see Box I"
https://www.eea.europa.eu/airs/2017/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector,"3 in the EEA Environmental indicator report 2017The 7th\xa0EAP (EU, 2013) calls for strengthening the market share of green technologies in the European Union and enhancing the competitiveness of European eco-industries"
https://www.eea.europa.eu/airs/2017/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector," The 7th EAP reflects the objectives of the Europe 2020 growth strategy towards a sustainable economy (EC, 2010), including growing employment in the green economy (EC, 2012)"
https://www.eea.europa.eu/airs/2017/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector,The Europe 2020 strategy does not include quantitative targets for increasing employment or for output from the EGSS
https://www.eea.europa.eu/airs/2017/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector,"The sector’s contribution to gross domestic product (GDP) grew from 1.5\xa0% in 2003 to 2.1\xa0% in 2014, while employment in the EGSS grew from 3.0 million full-time equivalents to 4.2 million over the same period.\xa0Growth in both environmental protection and resource management activities has been strong but has been particularly high in the resource management area, whose value added grew from EUR\xa050.7 billion in 2003 to EUR\xa0117.3 billion in 2014 (at 2010 prices), an increase of 133 %."
https://www.eea.europa.eu/airs/2017/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector,"Although the environmental protection activities\xa0still represent the major element of the EGSS\xa0(EUR\xa0156.7 billion in 2014 at 2010 prices), the relative contribution\xa0of these activities in the EGSS growth has considerably decreased over time.EU employment in environmental protection and resource management activities was estimated at 4.2 million full time equivalent employees in 2014 (Figure 2)."
http://docplayer.net/9826167-How-crisis-resistant-and-competitive-are-europe-s-eco-industries.html,"The global market share (22%) of European Eco-Industries was stable over this period, despite the fact that overall economic growth in Europe was much weaker than the world average during this period."
http://docplayer.net/9826167-How-crisis-resistant-and-competitive-are-europe-s-eco-industries.html,"In four of the five European countries considered in this study, Eco-Industries have grown faster than GDP between 2008 and In Italy and Portugal, where nominal GDP has stagnated during this period, Eco-Industries have grown by 9.4 and 5%, respectively, from 2008 to But also in Germany, whose economy remained relatively robust during the crisis, Eco-Industries were a driver of growth, with an increase of 13% between 2008 and There are inherent reasons why Eco-Industries have outperformed the rest of the economy, particularly during the economic crisis."
https://www.eea.europa.eu/airs/2016/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector,"The sector ’ s contribution to gross domestic product ( GDP ) has grown from 1.4\xa0 % in 2000 to 2.1\xa0 % in 2013 , and its contribution to total employment in the EU has grown from 2.8 million full-time equivalents ( FTEs ) to 4.2 million over the same period.\xa0The continued expansion of the EGSS , even in the years immediately following the financial downturn , partially resulted from innovation and Europe ’ s competitiveness in the global market , but it was also supported by public spending on environmental protection and renewable energy ( Görlach et al. , 2014 ; AIRS_PO2.13 , 20161 ) ."
https://www.eea.europa.eu/airs/2016/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector,"Employment trends were mainly driven by the growing importance of activities that manage energy resources , in particular the production of energy from renewable sources , the production of wind and solar power stations and equipment and installations for heat and energy saving ( Eurostat , 2016 ) .\xa0Despite the successes of the sector , recent trends are not so positive , with growth in employment and value added in the sector having slowed since 2011 ."
https://www.eea.europa.eu/airs/2016/resource-efficiency-and-low-carbon-economy/environmental-goods-and-services-sector,"The EGSS was largely unaffected by the economic downturn, with output growing by more than 50\xa0% over this period and employment reaching over 4 million full-time equivalents."
